SYS,SID,RAW.SCR,Z.SCR,N,HIT,RAW.Z.SCR
HUMAN-B,1851,88.1052631578947,0.847200429084109,19,1,1.06458903821841
HUMAN-B,1736,95.1052631578947,0.919474906944605,19,1,1.26183348688315
HUMAN-B,698,78.2631578947368,0.779976528300115,19,1,0.881128131412198
HUMAN-B,425,83.0526315789474,0.816639212947441,19,1,0.981184350895228
HUMAN-B,1759,91.4210526315789,0.869454810530804,19,1,1.12532352331979
HUMAN-B,1801,84.5263157894737,0.808178420609549,19,1,0.958093982491936
HUMAN-B,361,79.5263157894737,0.767277798025384,19,1,0.846471996550648
HUMAN-B,1749,91.8421052631579,0.881087501622397,19,1,1.15707032812241
HUMAN-B,1879,96.8947368421053,0.943704359049365,19,1,1.32795814199414
HUMAN-B,1033,84.05,0.805690162909547,20,2,0.951303272511021
HUMAN-B,238,94.05,0.886605430112471,20,2,1.17212931983034
HUMAN-B,1332,86.6,0.813170569883144,20,2,0.971718068895203
HUMAN-B,962,89.1,0.84772082817981,20,2,1.06600926062272
HUMAN-B,1355,77.2,0.755314908165104,20,2,0.813824045506541
HUMAN-B,1082,92.25,0.872428538584762,20,2,1.13343913159321
HUMAN-B,2020,87.4,0.824025955293053,20,2,1.00134352692139
HUMAN-B,554,83.7,0.792131685405039,20,2,0.914300799448927
HUMAN-B,1495,96.05,0.909488116534501,20,2,1.23457851352764
HUMAN-B,23,92,0.87472972915407,20,2,1.1397193162248
HUMAN-B,1957,93.0666666666667,0.882146237501194,15,4,1.15995972671617
HUMAN-B,1360,88.2,0.845591256820923,15,4,1.06019744238466
HUMAN-B,1931,83.6666666666667,0.784883023155698,15,4,0.894518458140451
HUMAN-B,396,93,0.870140966140922,15,4,1.12719611222008
HUMAN-B,285,93.2666666666667,0.874508728151091,15,4,1.13911618186427
HUMAN-B,232,88,0.817204896129351,15,4,0.982728158206436
HUMAN-B,959,84.8,0.822229255154308,15,4,0.996440148318411
HUMAN-B,1189,91.9333333333333,0.872442501450607,15,4,1.13347723768345
HUMAN-B,1821,82.6,0.776935580432868,15,4,0.872829073387165
HUMAN-B,412,89.4666666666667,0.832990576823486,15,4,1.02580889676704
HUMAN-B,1500,91.6666666666667,0.863321107277554,15,6,1.10858401924761
HUMAN-B,1048,88.4,0.834967216995428,15,6,1.03120335014069
HUMAN-B,593,92,0.877261205845831,15,6,1.14662797525846
HUMAN-B,699,94.0666666666667,0.914312907116427,15,6,1.24774586092919
HUMAN-B,682,80.3333333333333,0.780381634635859,15,6,0.882233708072311
HUMAN-B,1930,90.0666666666667,0.839048010067156,15,6,1.04234025217548
HUMAN-B,724,93.8,0.897952016130984,15,6,1.20309531460056
HUMAN-B,1580,90.4666666666667,0.844031661673446,15,6,1.05594114757478
HUMAN-B,109,93.4,0.892960994814728,15,6,1.18947430650834
HUMAN-B,459,88.4,0.818288089646728,15,6,0.985684304199557
HUMAN-B,1890,96.6470588235294,1,17,7,1.48159470901257
HUMAN-B,272,93.8823529411765,0.965809432592103,17,7,1.38828515054129
HUMAN-B,1261,92.5882352941177,0.953574134168657,17,7,1.35489376864242
HUMAN-B,422,90,0.929204587474799,17,7,1.2883867810566
HUMAN-B,211,92.8235294117647,0.963573492188164,17,7,1.38218304029051
HUMAN-B,1252,91,0.93336061262928,17,7,1.29972899914657
HUMAN-B,1324,88.8235294117647,0.91440290837767,17,7,1.24799148358436
HUMAN-B,1136,62.9411764705882,0.679307072092116,17,7,0.606390880104029
HUMAN-B,1832,93.2352941176471,0.952592052831113,17,7,1.3522135681387
HUMAN-B,1307,90.6470588235294,0.928207348577998,17,7,1.28566521402202
HUMAN-B,473,90.6875,0.910577448506703,16,10,1.23755141199236
HUMAN-B,123,96.3125,0.987211010374535,16,10,1.44669224714321
HUMAN-B,499,88.4375,0.909782228095391,16,10,1.23538117408488
HUMAN-B,1180,91.1875,0.924725413612491,16,10,1.27616265706293
HUMAN-B,737,90.75,0.925370150469072,16,10,1.27792220994487
HUMAN-B,468,81.1875,0.831638694876589,16,10,1.0221194725447
HUMAN-B,1771,82.6875,0.852995454536348,16,10,1.08040425590191
HUMAN-B,154,91,0.912269909801431,16,10,1.24217031211931
HUMAN-B,645,80.375,0.829970337028974,16,10,1.01756635319234
HUMAN-B,1168,84.1875,0.867425011123353,16,10,1.11978399295064
HUMAN-B,1655,74.5294117647059,0.749157654299208,17,12,0.797020269401623
HUMAN-B,1579,94.2352941176471,0.935676627309112,17,12,1.30604964029329
HUMAN-B,1367,80.2941176470588,0.805647381251286,17,12,0.951186516986161
HUMAN-B,1972,87.9411764705882,0.884837814584148,17,12,1.16730531610653
HUMAN-B,171,72.8235294117647,0.722583389668921,17,12,0.724496380875037
HUMAN-B,353,93.8823529411765,0.931462871642314,17,12,1.29454986972546
HUMAN-B,96,95.4705882352941,0.949339340180675,17,12,1.34333658234243
HUMAN-B,1007,93.5294117647059,0.925070431817645,17,12,1.27710424706357
HUMAN-B,794,78.5294117647059,0.768047498478566,17,12,0.848572587879967
HUMAN-B,1203,94.6470588235294,0.937884232953762,17,12,1.3120744220854
HUMAN-B,802,87,0.801379336029098,18,15,0.939538584664164
HUMAN-B,1474,93.5,0.873434516997505,18,15,1.13618454966144
HUMAN-B,1852,86.8888888888889,0.801301026192425,18,15,0.939324869103473
HUMAN-B,257,85.8333333333333,0.789277283065452,18,15,0.906510843265141
HUMAN-B,789,87.3888888888889,0.81428377486541,18,15,0.974756119248216
HUMAN-B,163,83.0555555555556,0.775956860218208,18,15,0.870158045731865
HUMAN-B,1834,78.4444444444444,0.731704024959788,18,15,0.749387528243707
HUMAN-B,1672,90.0555555555556,0.835455596961969,18,15,1.03253618906379
HUMAN-B,1699,78,0.717086903748177,18,15,0.70949590813384
HUMAN-B,1163,92.3888888888889,0.855654959828085,18,15,1.08766231809092
HUMAN-B,1654,61.7777777777778,0.645093595229989,18,16,0.513018799386963
HUMAN-B,1800,78.7222222222222,0.792772206904334,18,16,0.916048848189315
HUMAN-B,162,83,0.836338211898946,18,16,1.0349449355782
HUMAN-B,1502,86.5555555555556,0.858513373830424,18,16,1.09546322251302
HUMAN-B,1766,89.3888888888889,0.887857285191753,18,16,1.17554576049142
HUMAN-B,103,82.6111111111111,0.801328853125997,18,16,0.939400811653774
HUMAN-B,1237,80,0.794583423267168,18,16,0.920991843053829
HUMAN-B,145,68.2222222222222,0.685159632088875,18,16,0.622363115449211
HUMAN-B,1560,80.1666666666667,0.809569246057293,18,16,0.96188968751465
HUMAN-B,615,82.7777777777778,0.819361353053747,18,16,0.988613349904986
HUMAN-B,138,76.8235294117647,0.790366360906248,17,17,0.90948304817924
HUMAN-B,1645,95.4117647058823,0.963584003700131,17,17,1.38221172728271
HUMAN-B,912,94.3529411764706,0.952337154129282,17,17,1.35151792348797
HUMAN-B,1591,95.4117647058823,0.956649593197568,17,17,1.36328701116047
HUMAN-B,1877,96.7058823529412,0.977135659405972,17,17,1.41919558295791
HUMAN-B,220,98.8235294117647,0.998520513669837,17,17,1.47755703936571
HUMAN-B,1947,88.2941176470588,0.879168519295629,17,17,1.15183322891055
HUMAN-B,1865,85.8823529411765,0.869981008084496,17,17,1.12675957030953
HUMAN-B,1248,92.4705882352941,0.931006805358297,17,17,1.29330521814985
HUMAN-B,1926,89.4705882352941,0.909868838186597,17,17,1.23561754188987
HUMAN-B,236,90.5789473684211,0.840338448895695,19,18,1.04586199183802
HUMAN-B,881,92.3157894736842,0.854370617568516,19,18,1.08415721658919
HUMAN-B,357,93.3157894736842,0.863579754156672,19,18,1.10928989305785
HUMAN-B,2016,91.6842105263158,0.85888174302818,19,18,1.09646853976286
HUMAN-B,1664,86.9473684210526,0.811008966656088,19,18,0.965818832409875
HUMAN-B,1668,92.6315789473684,0.857710849017539,19,18,1.09327305014591
HUMAN-B,222,86.7894736842105,0.807589751360507,19,18,0.95648744385049
HUMAN-B,622,86.2631578947368,0.801837999458554,19,18,0.940790324115542
HUMAN-B,1872,94.2631578947368,0.878882953334609,19,18,1.15105389017015
HUMAN-B,1700,92.7368421052632,0.866332423192857,19,18,1.11680220864243
HUMAN-B,1192,90.1111111111111,0.878427794873611,18,20,1.14981171613649
HUMAN-B,1792,89.4444444444444,0.885152037159651,18,20,1.16816286168137
HUMAN-B,1452,95.6111111111111,0.943824106643427,18,20,1.32828494543664
HUMAN-B,1611,95.0555555555556,0.93860959331908,18,20,1.31405400477594
HUMAN-B,1603,93.1111111111111,0.908063750711202,18,20,1.23069127338658
HUMAN-B,1889,88.5555555555556,0.854857256942799,18,20,1.08548530525784
HUMAN-B,466,89.7777777777778,0.858824274832169,18,20,1.09631170317305
HUMAN-B,1515,91.1666666666667,0.900313356570397,18,20,1.20953965438508
HUMAN-B,849,76.2222222222222,0.734451563595596,18,20,0.75688584244047
HUMAN-B,454,92.5555555555556,0.903439760606204,18,20,1.21807193104208
Insight_DCU,134,36.5714285714286,0.408031863065635,21,3,-0.133946935191163
Insight_DCU,798,6.66666666666667,0.109572341898459,21,3,-0.948473521118101
Insight_DCU,417,6.28571428571429,0.100637756338184,21,3,-0.972856919726471
Insight_DCU,1653,6.61904761904762,0.103951433296915,21,3,-0.963813556092085
Insight_DCU,184,5.28571428571429,0.087869942671204,21,3,-1.00770159023739
Insight_DCU,118,17.8571428571429,0.202232214411781,21,3,-0.695595243636624
Insight_DCU,1664,4.14285714285714,0.062781427108967,21,5,-1.07617071746432
Insight_DCU,92,4.33333333333333,0.079714601918261,21,5,-1.02995834999693
Insight_DCU,74,5,0.088735186036818,21,5,-1.00534025251952
Insight_DCU,1185,2.75,0.096811761045824,20,8,-0.983298452538262
Insight_DCU,1592,1.65,0.078021633504432,20,8,-1.03457863410382
Insight_DCU,589,8.1,0.138982938453333,20,8,-0.868208992420094
Insight_DCU,1732,10.6,0.175021697730683,20,8,-0.769855529141633
Insight_DCU,1821,4.3,0.111747980897744,20,8,-0.942535979573548
Insight_DCU,1092,21.9,0.278192157201117,20,8,-0.488292783907931
Insight_DCU,966,10.7,0.151112838080979,20,9,-0.835105254624411
Insight_DCU,1050,8.75,0.115589448803625,20,9,-0.93205222041556
Insight_DCU,1130,14.45,0.211319536731119,20,9,-0.670795010777436
Insight_DCU,1225,26.95,0.312281519056909,20,9,-0.395259425748542
Insight_DCU,1931,13.15,0.192772734998221,20,9,-0.721411131302871
Insight_DCU,1374,5.15,0.086566005086435,20,9,-1.01126016938752
Insight_DCU,1202,12.3,0.178397698191459,20,9,-0.760642078290243
Insight_DCU,849,14.1875,0.164436490257226,16,11,-0.798743643921707
Insight_DCU,1702,3.25,0.047320003139393,16,11,-1.11836652623013
Insight_DCU,329,9,0.12541537455137,16,11,-0.905236263190997
Insight_DCU,443,13,0.124597181888259,17,13,-0.907469194725258
Insight_DCU,1729,23.8823529411765,0.268650863578475,34,13,-0.514331950925908
Insight_DCU,1349,13.2941176470588,0.120802370941728,17,13,-0.917825622265008
Insight_DCU,544,13.6470588235294,0.12431176810903,17,13,-0.908248118145972
Insight_DCU,230,20.5294117647059,0.21431389309955,17,13,-0.662623105722142
Insight_DCU,1029,18.9411764705882,0.207778674860923,34,13,-0.680458385291643
Insight_DCU,1687,24.1764705882353,0.245305157989187,17,13,-0.578044771328936
Insight_DCU,704,22.7647058823529,0.252531104767584,17,13,-0.558324422866
Insight_DCU,1002,17.8823529411765,0.197650156239815,17,13,-0.708100149443397
Insight_DCU,1301,7.68421052631579,0.128779674495713,19,14,-0.896054744246708
Insight_DCU,594,7.73684210526316,0.14035945561144,19,14,-0.864452336184508
Insight_DCU,379,10.6842105263158,0.154572799876818,19,14,-0.825662664694691
Insight_DCU,1850,11.4736842105263,0.170803727986849,19,14,-0.781366800357083
Insight_DCU,126,8.21052631578947,0.145250644481341,19,14,-0.851103781058023
Insight_DCU,1952,67.6842105263158,0.678570189547358,19,14,0.604379852206297
Insight_DCU,597,9.89473684210526,0.149594357137977,19,14,-0.839249344561505
Insight_DCU,1860,3.21052631578947,0.090783339603636,19,14,-0.999750631770582
Insight_DCU,402,0.764705882352941,0.093537151469222,17,19,-0.992235197287575
Insight_DCU,348,0.705882352941177,0.092448554553912,17,19,-0.99520608970679
Insight_DCU,1284,1.41176470588235,0.101373819606354,17,19,-0.970848127718417
Insight_DCU,842,14.4117647058824,0.220132730631489,34,19,-0.64674290243555
Insight_DCU,802,13.1176470588235,0.211597548269784,17,19,-0.670036288828974
Insight_DCU,1874,7.05882352941176,0.159854706948744,17,19,-0.811247799597896
Insight_DCU,1569,9.64705882352941,0.183180085128934,17,19,-0.74759045477517
Insight_DCU,1417,10.5294117647059,0.19086694480008,17,19,-0.726612227845255
Insight_DCU,576,2.17647058823529,0.106724358064536,17,19,-0.95624596054288
Insight_DCU,163,7.52941176470588,0.166695201855219,17,19,-0.792579388751319
Insight_DCU,1859,29.7058823529412,0.364767854732478,17,19,-0.252018842776186
Insight_DCU,1264,3.41176470588235,0.120549328877133,17,19,-0.918516199962661
Insight_DCU,75,6.05555555555556,0.140547174145815,18,21,-0.863940033087855
Insight_DCU,1201,5.44444444444444,0.135051107536847,18,21,-0.878939361484292
Insight_DCU,896,79.3333333333333,0.800680565532236,18,21,0.93763156844659
Insight_DCU,2037,1.44444444444444,0.092003200111479,18,21,-0.99642150757017
Insight_DCU,915,3.125,0.075542558361259,16,0,-1.04134428394715
Insight_DCU,209,1.0625,0.056623058909607,16,0,-1.09297753469933
Insight_DCU,128,5.6875,0.100618967347515,16,0,-0.972908196805396
Insight_DCU,1304,20.125,0.222983604501053,16,0,-0.638962575807659
Insight_DCU,1351,1.625,0.061530527658104,16,0,-1.07958455011762
Insight_DCU,215,12.75,0.157160285768519,16,0,-0.818601150820852
Insight_DCU,326,1.5,0.060190514817233,16,0,-1.0832415823346
Insight_DCU,892,4,0.07013063913025,19,1,-1.05611396553515
Insight_DCU,1058,5.21052631578947,0.094569372925938,19,1,-0.989418159265899
Insight_DCU,119,4.89473684210526,0.079395172446202,19,1,-1.03083010572549
Insight_DCU,236,3.84210526315789,0.076266550061688,19,1,-1.0393684364832
Insight_DCU,107,18.1578947368421,0.193972515419015,19,1,-0.718136807715571
Insight_DCU,1660,0.45,0.027860472431004,20,2,-1.17147357756379
Insight_DCU,97,3.3,0.06059696068669,20,2,-1.08213234994986
Insight_DCU,673,8.15,0.098002228046448,20,2,-0.980049546228005
Insight_DCU,1803,7.75,0.104434857563912,20,2,-0.962494241780342
Insight_DCU,1670,86,0.805935539148588,20,2,0.951972929386004
Insight_DCU,1823,0.35,0.026802201129112,20,2,-1.17436170827962
Insight_DCU,542,9.35,0.108725897209169,20,2,-0.950783555323903
Insight_DCU,1114,5.175,0.07205326062495,40,2,-1.05086693466147
Insight_DCU,599,0.85,0.032573579365409,20,2,-1.15861102626914
Insight_DCU,282,29,0.276826376083231,15,4,-0.492020140390729
Insight_DCU,234,1.4,0,15,4,-1.24750765884487
Insight_DCU,1959,19.2666666666667,0.223422485661225,15,4,-0.637764824194227
Insight_DCU,1846,12.1,0.139848331320661,30,4,-0.865847246696742
Insight_DCU,506,10.6,0.120377595713162,15,4,-0.918984877347094
Insight_DCU,922,12.0666666666667,0.135168431260216,15,4,-0.87861917303304
Insight_DCU,1090,17.2,0.19496016277321,15,4,-0.715441416982631
Insight_DCU,609,9.4,0.107883652575968,15,4,-0.953082127146685
Insight_DCU,1876,16.3333333333333,0.182147567388047,15,4,-0.750408301386677
Insight_DCU,1950,10.6,0.120792924870062,15,4,-0.917851401561559
Insight_DCU,1392,6.8,0.081045367297129,30,6,-1.0263265550504
Insight_DCU,1451,4.53333333333333,0.052201571872625,15,6,-1.10504422544141
Insight_DCU,22,10.5333333333333,0.139581685612295,15,6,-0.866574950130822
Insight_DCU,1270,2.66666666666667,0.025413792054939,15,6,-1.1781508187715
Insight_DCU,573,8.13333333333333,0.11074839309294,15,6,-0.94526395701852
Insight_DCU,1928,7.53333333333333,0.106142259591658,15,6,-0.957834566863538
Insight_DCU,499,4.66666666666667,0.059369743328567,15,6,-1.08548155174779
Insight_DCU,901,8.06666666666667,0.11119814812773,15,6,-0.944036529488119
Insight_DCU,908,7.93333333333333,0.110217092688837,15,6,-0.946713930209402
Insight_DCU,1690,2.35294117647059,0.10665892104055,17,7,-0.956424544879986
Insight_DCU,1982,2.76470588235294,0.110862197117705,17,7,-0.944953374185062
Insight_DCU,1060,7.35294117647059,0.156114662637596,17,7,-0.82145476338334
Insight_DCU,941,16.1764705882353,0.249451896869527,17,7,-0.566727896431715
Insight_DCU,303,2.23529411764706,0.105703245019508,17,7,-0.959032682571916
Insight_DCU,812,1.29411764705882,0.096137181729829,17,7,-0.985139448546852
Insight_DCU,691,7.58823529411765,0.145690328442237,17,7,-0.849903838519234
Insight_DCU,1719,2.70588235294118,0.111298687527372,17,7,-0.943762147174495
Insight_DCU,1544,4.58823529411765,0.14432612364643,17,7,-0.853626893057711
Insight_DCU,48,9.11764705882353,0.1815011921715,17,7,-0.752172325520682
Insight_DCU,773,6.3125,0.133911630135018,16,10,-0.882049111959742
Insight_DCU,481,3.5,0.094494265605202,16,10,-0.989623134832764
Insight_DCU,458,16.875,0.230959417154408,16,10,-0.6171957666098
Insight_DCU,1649,4.3125,0.104733790794041,16,10,-0.961678422394166
Insight_DCU,1772,10.5294117647059,0.124345955770503,17,12,-0.908154816518095
Insight_DCU,1983,5.70588235294118,0.077078865091739,17,12,-1.03715154561124
Insight_DCU,885,4.17647058823529,0.05916059350056,17,12,-1.08605234303864
Insight_DCU,1802,11.1176470588235,0.129558561609474,17,12,-0.89392908158025
Insight_DCU,987,7.05882352941176,0.090447566851243,17,12,-1.0006669899842
Insight_DCU,502,11.0588235294118,0.115088004715831,17,12,-0.933420712662908
Insight_DCU,586,14.6470588235294,0.150846570586837,17,12,-0.835831925873158
Insight_DCU,894,7.70588235294118,0.095116585647354,17,12,-0.987924759732161
Insight_DCU,384,5.52941176470588,0.073285225863539,17,12,-1.04750477541172
Insight_DCU,55,10.8333333333333,0.107450226384907,18,15,-0.954264991591003
Insight_DCU,767,7.77777777777778,0.057108249587914,18,15,-1.0916533996703
Insight_DCU,1730,12.8888888888889,0.147757965489409,18,15,-0.844261045357925
Insight_DCU,1656,6.66666666666667,0.059381016596225,18,15,-1.08545078584633
Insight_DCU,653,8.44444444444444,0.090348004986158,18,15,-1.00093870450595
Insight_DCU,388,5.33333333333333,0.035572520325999,18,15,-1.15042660939253
Insight_DCU,588,25.9444444444444,0.270503973572354,18,15,-0.509274624053711
Insight_DCU,352,7.88888888888889,0.089719609282256,18,15,-1.00265366070942
Insight_DCU,779,28.1666666666667,0.304718421747466,18,16,-0.415899892524079
Insight_DCU,253,28.7222222222222,0.311815105787,18,16,-0.39653231530785
Insight_DCU,1371,1.70588235294118,0.077058289260898,17,17,-1.03720769915991
Insight_DCU,1963,6.70588235294118,0.122348510978007,17,17,-0.91360604783096
Insight_DCU,764,3.88235294117647,0.097421172316151,17,17,-0.981635306797415
Insight_DCU,275,12.1176470588235,0.182867334815706,17,17,-0.748443982395547
Insight_DCU,828,6.76470588235294,0.127981877008322,17,17,-0.898232015258618
Insight_DCU,1406,2.94117647058824,0.091014956902843,17,17,-0.999118524450879
Insight_DCU,867,2.17647058823529,0.082542285091699,17,17,-1.02224131315275
Insight_DCU,750,4.70588235294118,0.112752385786078,17,17,-0.939794855814508
Insight_DCU,29,1.52941176470588,0.073605332103473,17,17,-1.04663117271435
Insight_DCU,1696,11.1052631578947,0.131161883807579,19,18,-0.889553451172963
Insight_DCU,1898,5,0.06938451996771,38,18,-1.05815020110834
Insight_DCU,980,1.42105263157895,0.035569384602264,19,18,-1.1504351671036
Insight_DCU,339,11.5,0.129654429697833,38,18,-0.893667447753307
Insight_DCU,1764,0.684210526315789,0.029429307483652,19,18,-1.16719206610683
Insight_DCU,468,3.68421052631579,0.05636536804676,19,18,-1.0936807994433
Insight_DCU,884,31.7894736842105,0.317539709143024,19,18,-0.380909286733879
Insight_DCU,472,14.3684210526316,0.163156237515867,19,18,-0.802237584709607
Insight_DCU,1149,4.88888888888889,0.092551865849788,18,20,-0.99492414260459
Insight_DCU,313,4.38888888888889,0.08671305812211,18,20,-1.01085884659966
Insight_DCU,1862,2.72222222222222,0.058565863106693,18,20,-1.08767542316478
