SYS,SID,RAW.SCR,Z.SCR,N
ARETE,977,6,-0.789626382481183,2
ARETE,726,8.5,-0.699670593952129,2
ARETE,1870,16.5,-0.411812070659157,2
ARETE,523,41.8,-0.27557853340434,5
ARETE,1455,56.8,0.119605705179977,5
ARETE,733,45.2,-0.148430718747544,5
ARETE,265,17,-1.54006821402251,1
ARETE,333,62,0.290143456057838,1
ARETE,127,36.5,-0.785941844075035,2
ARETE,1396,66.5,0.359948467356745,2
ARETE,1316,55.5,-0.035857002171092,2
ARETE,1784,66.5,0.359948467356745,2
ARETE,147,19.5,-1.42224152054784,2
ARETE,1188,50.5,-0.298169024960043,2
ARETE,829,40,-0.929504552134227,2
ARETE,586,70.75,0.2369883007227,4
ARETE,1743,55,-0.448842541274483,2
ARETE,220,76,0.086546281449829,1
ARETE,1274,51,-0.739277014827162,1
ARETE,1287,100,0.87933664587574,1
ARETE,1841,72,1.45849332477913,1
ARETE,460,32,0.134996659825292,1
ARETE,932,0,-0.923800672137781,1
ARETE,774,0,-0.923800672137781,1
ARETE,938,73,0.737528530966368,1
ARETE,1599,73,0.737528530966368,1
ARETE,1494,81,1.06289949453621,1
ARETE,1263,24,-1.2553686208989,1
ARETE,1172,50,-0.197912989296922,1
ARETE,1021,98,1.75431279212212,1
ARETE,510,82,0.769168695210611,3
ARETE,1827,49.6666666666667,-0.188844885988504,3
ARETE,1037,80,0.832116703238422,1
ARETE,1243,18,-0.974615413756225,1
ARETE,1619,25,-0.77062952957941,1
ARETE,329,8.5,-1.25145339942476,2
ARETE,243,52,0.016173166531162,1
ARETE,373,51,-0.012967674065526,1
ARETE,76,7,-1.29516466031979,1
ARETE,117,62.6666666666667,-0.195757940732218,3
ARETE,1670,4,-1.97019755329386,3
ARETE,1704,81.3333333333333,0.258889397949984,3
ARETE,957,76.3333333333333,0.201201380745183,3
ARETE,59,63.6666666666667,-0.195974538591961,6
ARETE,1772,37.1666666666667,-1.06180081020282,6
ARETE,163,61.8,0.035652927994447,5
ARETE,345,70.2,0.179532239782065,5
ARETE,776,61.6,0.034816071388443,5
ARETE,884,96,1.09319344225811,5
ARETE,525,7,-2.45279402895516,1
ARETE,1238,27,-1.77247263152058,1
ARETE,418,53,-0.888054814855634,1
ARETE,45,39.3333333333333,-0.434876151118018,3
ARETE,72,29.6666666666667,-0.900717821908614,3
ARETE,742,67.6666666666667,0.251020087716707,3
ARETE,1742,99,0.283676846493071,1
ARETE,1669,100,0.340366863777857,1
ARETE,1474,99,0.283676846493071,2
ARETE,1829,99.5,0.312021855135464,2
ARETE,654,32,-3.51455431158761,1
ARETE,1750,99,0.283676846493071,1
ARETE,1443,100,0.340366863777857,1
ARETE,547,100,0.340366863777857,1
ARETE,479,70,-1.36033365476573,1
ARETE,1205,99,0.283676846493071,1
ARETE,385,79.5,1.00189243886686,2
ARETE,211,31.5,-0.950333342552176,2
ARETE,1703,50,-0.197912989296922,1
ARETE,840,79,0.981556753643748,1
ARETE,1158,9,-1.86543917759235,1
ARETE,1310,44,-0.441941211974302,1
ARETE,1436,74,0.778199901412598,1
ARETE,1568,75,0.818871271858828,1
ARETE,1004,83,1.14424223542867,1
ARETE,43,76,0.859542642305058,1
ARETE,969,74,0.778199901412598,1
ARETE,172,3,-0.927932605554598,1
ARETE,755,46.5,0.057061741483592,2
ARETE,691,2,-0.950576153762373,1
ARETE,566,3,-0.927932605554598,1
ARETE,867,79.3333333333333,0.148795025175913,3
ARETE,627,96.6666666666667,0.771725267594773,3
ARETE,1650,52.6666666666667,-0.524529673117968,3
ARETE,1414,62,-0.260005300056846,3
ARETE,197,39.6666666666667,-0.883014059512317,3
ARETE,1812,46,-0.619160392214367,3
ARETE,637,25,-1.29306744525174,3
ARETE,1677,50,-0.283552206656697,1
ARETE,1269,99,1.01723731949222,1
ARETE,1160,49,-0.310098931680145,1
ARETE,979,49,-0.310098931680145,1
ARETE,1813,25,-0.947220332242882,1
ARETE,1121,0,-1.55186080206593,1
ARETE,1153,1,-1.52266121529848,1
ARETE,684,1,-1.52266121529848,1
ARETE,1620,99,1.33889828791143,1
ARETE,344,0,-1.55186080206593,1
ARETE,630,99,1.33889828791143,2
ARETE,1804,99,1.33889828791143,1
ARETE,1237,1,-1.52266121529848,1
ARETE,1053,1,-1.52266121529848,1
ARETE,778,98,0.891342046084891,1
ARETE,1663,62,-0.24392466748511,1
ARETE,1005,46,-0.748487651293999,1
ARETE,234,6,-2.00989511081622,1
ARETE,319,38,-1.03050521400335,2
ARETE,988,75,0.0445789001057,2
ARETE,271,66,-0.445076199884775,2
ARETE,524,32,-1.03814275097776,1
ARETE,674,92,0.54923148599129,1
ARETE,1571,98,0.707968909688195,1
ARETE,405,42,-0.773580378149582,1
ARETE,1492,13,-1.54081125935129,1
ARETE,1842,1,-1.8582861067451,1
ARETE,215,97.6666666666667,0.710759156460198,3
ARETE,962,66.6666666666667,-0.073717302615109,3
ARETE,748,100,0.787045613025631,3
ARETE,1602,100,0.68255225293339,2
ARETE,692,100,0.68255225293339,2
ARETE,1655,75.5,-0.1826878388315,2
ARETE,1387,100,0.68255225293339,2
ARETE,875,45,-0.416285831773936,2
ARETE,1747,99,1.01723731949222,1
ARETE,1033,73,0.327022468882593,1
ARETE,1363,24,-0.97376705726633,1
ARETE,495,50,-0.283552206656697,1
ARETE,383,91,0.707195863345641,1
ARETE,1584,74,0.241800346966045,1
ARETE,1592,3,-1.51148744509173,3
ARETE,476,1.66666666666667,-1.54374058060046,3
ARETE,820,88.3333333333333,0.914338397170297,3
ARETE,1141,51,-0.346364409105827,3
ARETE,1613,25,-1.00381595512316,3
ARETE,1142,48,-0.400343454442096,3
ARETE,1576,66.6666666666667,0.097602278884455,6
ARETE,1623,53,-0.249197083429177,3
ARETE,263,45,-0.523820429457461,3
ARETE,1435,19.3333333333333,-1.18409974912402,3
ARETE,1303,73.3333333333333,0.299546910099979,6
ARETE,514,66.3333333333333,0.061879555804862,3
ARETE,1358,0,-1.36093279218736,1
ARETE,1437,1,-1.33788176250939,1
ARETE,719,45,-0.323636456678702,1
ARETE,911,1,-1.33788176250939,1
ARETE,1823,99,0.921119145931689,1
ARETE,599,100,0.944170175609659,1
ARETE,1334,98,0.898068116253719,1
ARETE,10,100,0.726689284823747,4
ARETE,612,100,0.726689284823747,2
ARETE,839,74.5,0.079115629034286,2
ARETE,955,64,-0.18753234687902,2
ARETE,1350,52.5,-0.479575368117405,2
ARETE,471,100,0.726689284823747,2
ARETE,1189,15.5,-1.37443230074875,2
ARETE,444,33,-0.75010546942527,2
ARETE,1542,22.5,-1.11939184912855,4
ARETE,180,31,-1.02009837667081,2
ARETE,1614,92.5,0.878007583638498,2
ARETE,48,42.5,-0.43907045169397,2
ARETE,783,93.5,0.924141299560354,2
ARETE,1510,68.5,0.255504243519014,2
ARETE,604,6,-1.68065700201207,2
ARETE,813,25,-1.01234510378655,1
ARETE,101,50,-0.129896442884746,1
ARETE,1816,25,-1.01234510378655,1
ARETE,15,26,-0.97704715735048,1
ARETE,554,25,-1.01234510378655,1
ARETE,1581,50,-0.129896442884745,2
ARETE,858,12,-1.47121840745549,1
ARETE,1369,41,-0.447577960809396,1
ARETE,492,68.5,-0.360805731843838,2
ARETE,1374,99,0.676684399243891,1
ARETE,667,22,-1.94255298087923,1
ARETE,1028,98,0.642668329372162,1
ARETE,1680,51,-0.956086954599092,1
ARETE,1692,96.5,0.591644224564569,2
ARETE,1740,98,0.642668329372162,1
ARETE,1354,50,-0.990103024470821,1
ARETE,1727,87,0.268491560783145,1
ARETE,543,2,-1.00084973406835,1
ARETE,301,39,-0.092437121274802,1
ARETE,936,96,1.30700933627201,1
ARETE,1057,2,-1.00084973406835,1
ARETE,746,2,-1.00084973406835,1
ARETE,1394,47,0.103976416626504,1
ARETE,250,48,-0.469981031026277,1
ARETE,1638,93,0.761948277037358,1
ARETE,948,3,-1.70191033908991,1
ARETE,65,74,0.241800346966045,1
ARETE,1710,64,0.033193386630487,2
