SYS,SID,RAW.SCR,Z.SCR,N
IMFD_IMPRESEE,433,73,0.546735806989698,1
IMFD_IMPRESEE,1336,2,-1.39223733468206,1
IMFD_IMPRESEE,112,6,-1.28299941120759,1
IMFD_IMPRESEE,555,78,0.683283211332779,1
IMFD_IMPRESEE,917,55,-0.111740553333899,1
IMFD_IMPRESEE,1495,55,-0.111740553333899,1
IMFD_IMPRESEE,98,0,-1.06545880946359,2
IMFD_IMPRESEE,310,50,0.084151472650771,1
IMFD_IMPRESEE,1134,0,-1.06545880946359,2
IMFD_IMPRESEE,267,0,-1.06545880946359,1
IMFD_IMPRESEE,649,0,-1.06545880946359,1
IMFD_IMPRESEE,855,1,-1.0424666038213,1
IMFD_IMPRESEE,518,0,-1.06545880946359,1
IMFD_IMPRESEE,32,0,-1.06545880946359,1
IMFD_IMPRESEE,1244,0,-1.06545880946359,1
IMFD_IMPRESEE,844,0,-1.06545880946359,1
IMFD_IMPRESEE,381,0,-1.06545880946359,1
IMFD_IMPRESEE,45,0,-1.06545880946359,1
IMFD_IMPRESEE,1354,0,-1.06545880946359,1
IMFD_IMPRESEE,704,50,-0.831956447307294,1
IMFD_IMPRESEE,101,0,-2.2526471018621,1
IMFD_IMPRESEE,719,100,0.588734207247511,1
IMFD_IMPRESEE,405,0,-2.2526471018621,1
IMFD_IMPRESEE,869,100,0.588734207247511,1
IMFD_IMPRESEE,939,100,0.588734207247511,1
IMFD_IMPRESEE,475,50,-0.831956447307294,1
IMFD_IMPRESEE,515,0,-1.43215258961322,1
IMFD_IMPRESEE,873,100,0.99316932336429,1
IMFD_IMPRESEE,969,92,0.79914357032609,1
IMFD_IMPRESEE,431,1,-1.40789937048344,1
IMFD_IMPRESEE,44,51,-0.15025118881639,1
IMFD_IMPRESEE,1430,25,-0.861175831077742,1
IMFD_IMPRESEE,209,0,-1.5447572178675,1
IMFD_IMPRESEE,1059,12,-1.21663815220842,1
IMFD_IMPRESEE,482,0,-1.5447572178675,1
IMFD_IMPRESEE,1348,50,-0.17759444428798,1
IMFD_IMPRESEE,1187,50.5,-0.163922816552185,2
IMFD_IMPRESEE,1597,0,-1.5447572178675,1
IMFD_IMPRESEE,514,0,-1.5447572178675,1
IMFD_IMPRESEE,1671,10,-1.40097276583571,1
IMFD_IMPRESEE,273,76,0.464729464696108,1
IMFD_IMPRESEE,52,76,0.464729464696108,1
IMFD_IMPRESEE,894,0,-2.3037908355068,1
IMFD_IMPRESEE,665,0,-2.3037908355068,1
IMFD_IMPRESEE,1651,7,-2.10203259894296,1
IMFD_IMPRESEE,187,100,0.578469686833747,1
IMFD_IMPRESEE,74,100,0.578469686833747,1
IMFD_IMPRESEE,1571,100,0.578469686833747,1
IMFD_IMPRESEE,956,50,-0.862660574336526,1
IMFD_IMPRESEE,388,1.5,-2.00669709931412,4
IMFD_IMPRESEE,1677,66.5,-0.089667938102554,2
IMFD_IMPRESEE,700,0,-2.04787468779486,2
IMFD_IMPRESEE,722,38.5,-0.904139953402458,2
IMFD_IMPRESEE,1482,61.5,-0.187754696361871,2
IMFD_IMPRESEE,1660,60.5,-0.218901881450592,2
IMFD_IMPRESEE,490,70,-0.089299297677808,2
IMFD_IMPRESEE,1356,49.5,-0.530479058173441,2
IMFD_IMPRESEE,743,48.5,-0.557191691940296,2
IMFD_IMPRESEE,914,98.5,0.798395477350746,2
IMFD_IMPRESEE,364,98.5,0.798395477350746,2
IMFD_IMPRESEE,8,0,-1.30808360971119,1
IMFD_IMPRESEE,1040,100,1.05243900999681,1
IMFD_IMPRESEE,544,1,-1.28447838351411,1
IMFD_IMPRESEE,1350,31,-0.576321597601709,1
IMFD_IMPRESEE,211,0,-1.30808360971119,1
IMFD_IMPRESEE,504,0,-1.30808360971119,1
IMFD_IMPRESEE,1030,6,-1.02424219264257,1
IMFD_IMPRESEE,1117,1,-1.1587984449603,1
IMFD_IMPRESEE,822,1,-1.1587984449603,1
IMFD_IMPRESEE,962,1,-1.1587984449603,1
IMFD_IMPRESEE,151,3,-1.10497594403321,1
IMFD_IMPRESEE,1636,2,-1.13188719449676,1
IMFD_IMPRESEE,1499,3,-1.10497594403321,1
IMFD_IMPRESEE,1126,34,-0.270727179663276,1
IMFD_IMPRESEE,1238,6,-1.02424219264257,1
IMFD_IMPRESEE,614,23,-0.566750934762285,1
IMFD_IMPRESEE,116,25,-1.2284986174077,1
IMFD_IMPRESEE,750,41,-0.742686015368074,1
IMFD_IMPRESEE,1196,52,-0.408689851465833,1
IMFD_IMPRESEE,1213,93,0.836204941260702,1
IMFD_IMPRESEE,833,26,-1.19813532978022,1
IMFD_IMPRESEE,1300,6,-1.80540108232975,1
IMFD_IMPRESEE,1615,25,-1.2284986174077,1
IMFD_IMPRESEE,386,95,0.896931516515655,1
