SYS,SID,RAW.SCR,Z.SCR,N
MMCUniAugsburg,1263,56.3529411764706,0.085131869805098,17
MMCUniAugsburg,689,29.2941176470588,-0.637579447212752,17
MMCUniAugsburg,239,24.6470588235294,-0.851935060270839,17
MMCUniAugsburg,1046,44.2352941176471,-0.201491150269652,17
MMCUniAugsburg,1471,56.0588235294118,0.154262623395168,17
MMCUniAugsburg,595,35.1764705882353,-0.429375583883733,17
MMCUniAugsburg,1231,39.8823529411765,-0.37573480803124,17
MMCUniAugsburg,1222,38.5294117647059,-0.485497571393655,17
MMCUniAugsburg,1438,34.6842105263158,-0.593899810663394,19
MMCUniAugsburg,663,33.8157894736842,-0.619254801108209,38
MMCUniAugsburg,1678,64.3157894736842,0.323874328356511,19
MMCUniAugsburg,690,55.2631578947368,0.057153177177207,19
MMCUniAugsburg,1517,25.6315789473684,-0.959649403003793,19
MMCUniAugsburg,1275,48.2631578947368,-0.174246394521081,19
MMCUniAugsburg,1076,20.8947368421053,-0.897917995113539,19
MMCUniAugsburg,1073,82.8235294117647,0.747495751863226,34
MMCUniAugsburg,599,55.2941176470588,-0.025862656836725,17
MMCUniAugsburg,1209,64.5294117647059,0.116780410063367,17
MMCUniAugsburg,176,50.5882352941176,-0.127406873896952,17
MMCUniAugsburg,307,41.5588235294118,-0.407881508298494,34
MMCUniAugsburg,89,28.1176470588235,-0.836469209057678,17
MMCUniAugsburg,1607,36.9411764705882,-0.547650656739597,17
MMCUniAugsburg,203,32.0588235294118,-0.682465940890175,17
MMCUniAugsburg,633,38.7647058823529,-0.4905355620431,17
MMCUniAugsburg,1588,24.5294117647059,-0.832562908737294,17
MMCUniAugsburg,336,46.7058823529412,-0.111175553273704,17
MMCUniAugsburg,728,50.1176470588235,-0.023844697740539,34
MMCUniAugsburg,1151,27.5882352941176,-0.693408079304475,17
MMCUniAugsburg,1455,73.7647058823529,0.554791413436194,17
MMCUniAugsburg,455,43.5882352941176,-0.162261887406203,17
MMCUniAugsburg,180,41.0588235294118,-0.374035341713162,17
MMCUniAugsburg,540,72.3333333333333,0.351157989511487,36
MMCUniAugsburg,424,65.3333333333333,0.124880737114017,18
MMCUniAugsburg,17,45.8333333333333,-0.484065444984471,18
MMCUniAugsburg,1346,41.7777777777778,-0.605198129694612,18
MMCUniAugsburg,850,55.6666666666667,-0.097162876870269,18
MMCUniAugsburg,1630,47.8333333333333,-0.496356382289338,18
MMCUniAugsburg,1581,54.6111111111111,-0.430328216389514,18
MMCUniAugsburg,758,77.7777777777778,0.465218124831082,18
MMCUniAugsburg,1115,42.3333333333333,-0.462464947566427,18
MMCUniAugsburg,1319,45.6666666666667,-0.358554935103179,36
MMCUniAugsburg,1162,60.7222222222222,0.005951844742676,18
MMCUniAugsburg,190,54.4444444444444,-0.113271231503335,18
MMCUniAugsburg,1684,45.7777777777778,-0.398560646638122,18
MMCUniAugsburg,1591,41.5555555555556,-0.277219091377699,36
MMCUniAugsburg,654,83.3333333333333,0.841183583049771,18
MMCUniAugsburg,467,25.7222222222222,-0.700170425025339,18
MMCUniAugsburg,83,30.2222222222222,-0.598567950137402,18
MMCUniAugsburg,449,42.9166666666667,-0.239019097636212,36
MMCUniAugsburg,1534,22.9444444444444,-0.805622246810099,36
MMCUniAugsburg,1478,15.8333333333333,-1.00224435770392,18
MMCUniAugsburg,1569,38.0277777777778,-0.411106843905826,36
MMCUniAugsburg,593,55.1111111111111,0.092679868194316,18
MMCUniAugsburg,436,29.7777777777778,-0.596700196297415,18
MMCUniAugsburg,967,30.6666666666667,-0.553881741859892,18
