SYS,SID,RAW.SCR,Z.SCR,N
PicSOM,550,0,-1.7702515472771,1
PicSOM,1106,100,0.737897428745996,1
PicSOM,669,0,-1.7702515472771,1
PicSOM,1095,26,-1.1181328135111,1
PicSOM,193,94,0.72434117694105,1
PicSOM,1628,85,0.402998908864477,1
PicSOM,162,92,0.652931784035145,1
PicSOM,601,98,0.867159962752861,1
PicSOM,1375,97,0.831455266299908,1
PicSOM,1838,51,-0.810960770535913,1
PicSOM,105,53,-0.739551377630008,1
PicSOM,786,86,0.438703605317429,1
PicSOM,1436,54,-0.703846681177055,1
PicSOM,1782,46,-0.989484252800676,1
PicSOM,1275,21,-0.61978631785669,2
PicSOM,1594,10,-0.884036298338228,1
PicSOM,287,2,-1.0762181023248,1
PicSOM,426,43,-0.091286356893621,1
PicSOM,8,8,-0.932081749334871,1
PicSOM,1251,1,-1.10024082782312,1
PicSOM,1171,0,-1.15698867877256,1
PicSOM,1384,100,0.937866796100804,1
PicSOM,765,0,-1.15698867877256,1
PicSOM,169,69,-0.168276234382766,1
PicSOM,407,86,0.438703605317429,1
PicSOM,1670,77,0.117361337240856,1
PicSOM,1683,27,-1.66787348540678,1
PicSOM,824,0,-1.29160579829748,2
PicSOM,467,50,-0.103157327283972,1
PicSOM,115,16,-0.911302287573155,1
PicSOM,403,89,0.823832480106561,1
PicSOM,1004,0,-1.29160579829748,1
PicSOM,811,0,-1.29160579829748,1
PicSOM,970,3,-1.22029889003667,1
PicSOM,1827,0,-1.29160579829748,1
PicSOM,1132,5,-1.46972900923301,1
PicSOM,1556,9.5,-1.341536335074,2
PicSOM,423,10,-1.32729270461189,1
PicSOM,1468,91,0.980175430250224,1
PicSOM,1328,50,-0.187802267642944,1
PicSOM,994,82,0.723790081932211,1
PicSOM,830,15,-1.08349614701828,2
PicSOM,937,0,-1.43769560665158,1
PicSOM,1131,0,-1.43769560665158,1
PicSOM,1392,1,-1.4140823093427,1
PicSOM,1820,12,-1.40274069271158,1
PicSOM,1711,8,-1.50413141860327,1
PicSOM,1600,84,0.422292373338903,1
PicSOM,945,99,0.802507595432753,1
PicSOM,273,5,-1.58017446302204,1
PicSOM,1303,99,0.802507595432753,1
PicSOM,683,0,-1.70691287038666,1
PicSOM,1413,36,-0.410933219694927,1
PicSOM,1409,30,-0.625255445302646,1
PicSOM,348,6,-1.48254434773352,1
PicSOM,366,47,-0.018009139414107,1
PicSOM,785,28,-0.696696187171886,1
PicSOM,787,59,0.410635311801332,1
PicSOM,1379,27,-0.732416558106506,1
PicSOM,1137,3,-1.70428594755388,1
PicSOM,241,1.5,-1.74865760932586,2
PicSOM,978,39,-0.639366065026374,1
PicSOM,83,4,-1.67470483970589,1
PicSOM,1651,18.5,-1.01014421030551,2
PicSOM,90,97,0.988250963811991,1
PicSOM,1195,73,0.377276643062692,1
PicSOM,51,2,-1.43018905582065,1
PicSOM,1538,7,-1.30290273899788,1
PicSOM,417,22,-0.921043788529568,1
PicSOM,1647,94,0.911879173718329,1
PicSOM,947,100,0.923634124237113,1
PicSOM,1515,0,-1.43769560665158,1
PicSOM,961,25,-0.847363173929408,1
PicSOM,367,21,-0.941816363164956,1
PicSOM,1002,51,-0.159315006718721,1
PicSOM,984,39,-0.501162137809404,1
PicSOM,1034,26,-0.871496529824311,1
PicSOM,1370,25,-0.899983790748534,1
PicSOM,1486,73,0.467404733614199,1
PicSOM,255,50,-0.187802267642944,1
PicSOM,1664,1,-1.5836780529299,1
PicSOM,1103,31,-0.729060225203193,1
PicSOM,1793,10,-1.20156263356271,1
PicSOM,874,27,-0.800136579311635,1
PicSOM,1846,100,0.923634124237113,1
PicSOM,812,31.5,-0.693876741421643,2
PicSOM,1084,0,-1.43769560665158,1
PicSOM,190,51,-0.233417443898348,1
PicSOM,1834,9,-1.2251759308716,1
PicSOM,22,50,-0.257030741207234,1
PicSOM,1805,0,-1.43769560665158,1
PicSOM,1336,0,-1.43769560665158,1
PicSOM,281,0,-1.43769560665158,1
PicSOM,1883,41,-0.232331365021827,1
PicSOM,32,57,0.339194569932092,1
PicSOM,540,18,-1.05389989651809,1
PicSOM,1229,5,-1.51826471866814,2
PicSOM,810,69,0.767839021147531,1
PicSOM,1400,4,-2.26290018162877,1
PicSOM,1859,100,0.784349326526116,1
PicSOM,516,100,0.784349326526116,1
PicSOM,1867,2,-2.32638454638199,1
PicSOM,1080,59,-0.517080150915032,1
PicSOM,263,98,0.72086496177289,1
PicSOM,848,98,0.72086496177289,1
PicSOM,1320,66,-0.294884874278738,1
PicSOM,1157,96,1.04675708230884,1
PicSOM,1691,68,0.218486062565226,1
PicSOM,1291,83,0.66220268028502,1
PicSOM,888,77.5,0.499506587121096,2
PicSOM,1902,69,0.248067170413213,1
PicSOM,1391,53,-0.225230555154567,1
PicSOM,236,2,-1.73386705540187,1
PicSOM,226,73,0.366391601805158,1
PicSOM,374,47,-0.402717202242485,1
PicSOM,1154,10,-1.70701644744756,1
PicSOM,657,12,-1.65106703914053,1
PicSOM,875,12,-1.65106703914053,1
PicSOM,307,0,-1.98676348898272,1
PicSOM,23,100,0.8107069263689,1
PicSOM,210,90,0.530959884833738,1
PicSOM,1186,99,0.900020826928226,1
PicSOM,1276,0,-1.43769560665158,1
PicSOM,479,0,-1.43769560665158,1
PicSOM,1073,24,-0.870976471238295,1
PicSOM,386,0,-1.43769560665158,1
PicSOM,1182,3,-1.2190745871526,1
PicSOM,1809,3,-1.2190745871526,1
PicSOM,648,2,-1.24348537183728,1
PicSOM,1152,81,0.684966618251944,1
PicSOM,278,22,-0.911018412779606,1
PicSOM,1399,21,-0.946738783714226,1
PicSOM,611,16,-1.12534063838733,1
PicSOM,1404,38,-0.339492477825687,1
PicSOM,1706,6,-1.48254434773352,1
PicSOM,1123,58,0.374914940866712,1
PicSOM,1397,55,0.267753828062852,1
PicSOM,413,63,0.553516795539812,1
PicSOM,248,0,-1.43769560665158,1
PicSOM,1613,0,-1.43769560665158,1
PicSOM,1219,0,-1.43769560665158,1
PicSOM,1090,0,-1.43769560665158,1
PicSOM,918,0,-1.43769560665158,1
PicSOM,803,0,-1.43769560665158,1
PicSOM,286,0,-1.43769560665158,1
PicSOM,635,75,0.333301691514939,1
PicSOM,60,52,-0.209804146589461,1
PicSOM,1732,65,0.129742739021268,1
PicSOM,221,5,-1.64512373185791,1
PicSOM,1460,71,0.307229386109185,1
PicSOM,344,88,0.810108219524951,1
PicSOM,262,4,-1.67470483970589,1
PicSOM,134,79,0.543878248893075,1
PicSOM,1578,55,0.555055320513611,1
PicSOM,1505,43,-0.267248858025072,1
PicSOM,1349,38.5,-0.575612924977077,2
PicSOM,1567,64,1.17178345441762,1
PicSOM,247,45,-0.130198161601958,1
PicSOM,1065,53,0.418004624090497,1
PicSOM,580,62,1.03473275799451,2
PicSOM,1519,65,1.24030880262918,1
PicSOM,858,99,0.902864659205813,1
PicSOM,97,86,0.438703605317429,1
PicSOM,315,99,0.902864659205813,1
PicSOM,81,98,0.867159962752861,1
PicSOM,1830,98,0.867159962752861,1
PicSOM,1172,95,0.760045873394003,1
PicSOM,1113,68,-0.203980930835718,2
PicSOM,713,64,0.589237166474431,1
PicSOM,1115,22.5,-0.893158227312298,2
PicSOM,912,20,-0.982459154648846,1
PicSOM,498,59,0.410635311801332,1
PicSOM,225,33,-0.518094332498786,1
PicSOM,1424,42,-1.13230303861249,1
PicSOM,1188,90,0.58152239112924,1
PicSOM,469,90,0.58152239112924,1
PicSOM,708,48,-0.918074859894771,1
PicSOM,1896,48,-0.918074859894771,1
PicSOM,266,98,0.867159962752861,1
PicSOM,581,98,0.867159962752861,1
PicSOM,1237,52,-0.77525607408296,1
PicSOM,84,81,0.260180123052666,1
PicSOM,1481,81,0.260180123052666,1
PicSOM,636,47,-0.953779556347724,1
PicSOM,529,92,0.652931784035145,1
PicSOM,613,3,-1.70428594755388,1
PicSOM,951,65,0.129742739021268,1
PicSOM,1114,6,-1.61554262400992,1
PicSOM,1351,28,-0.964758251354223,1
PicSOM,821,5,-1.64512373185791,1
PicSOM,640,50,-0.313973878698526,1
PicSOM,1315,14,-1.21334366091499,1
PicSOM,1101,14,-1.21334366091499,1
PicSOM,1658,12,-1.27031818276344,1
PicSOM,1484,95,1.09412447394712,1
PicSOM,1703,4,-1.49821627015723,1
PicSOM,305,6,-1.48254434773352,1
PicSOM,468,2,-1.625425831472,1
PicSOM,1675,16,-1.12534063838732,2
PicSOM,1609,88,1.44652606890531,1
PicSOM,724,75,0.04595194433495,1
PicSOM,877,98,0.867159962752861,1
PicSOM,809,96,0.795750569846956,1
PicSOM,1017,6,-2.41767211091878,1
PicSOM,364,99,0.902864659205813,1
PicSOM,68,98,0.867159962752861,1
PicSOM,136,97,0.831455266299908,1
PicSOM,1826,61,-0.453913806006388,2
PicSOM,1385,53,-0.739551377630008,1
PicSOM,75,100,0.938569355658766,1
PicSOM,1470,85,0.402998908864477,1
PicSOM,1165,50,-0.846665466988866,1
PicSOM,324,1,-1.39368702602596,1
PicSOM,250,5.5,-1.28895102707612,2
PicSOM,956,100,0.91050495087067,1
PicSOM,1467,40,-0.48597503512729,1
PicSOM,95,75,0.328638290038187,1
PicSOM,114,75,0.328638290038187,1
PicSOM,1781,2,-1.37041235959267,1
PicSOM,814,1,-1.39368702602596,1
PicSOM,274,29,-0.660975816237266,1
PicSOM,715,23,-0.875298041844986,1
PicSOM,944,79,1.12504273049373,1
PicSOM,1183,77,1.05360198862449,1
PicSOM,1580,66,0.660677908343671,1
PicSOM,600,19,-1.01817952558347,1
PicSOM,1314,45,-0.089449881283347,1
PicSOM,1540,22,-0.911018412779606,1
PicSOM,186,7,-1.4468239767989,1
PicSOM,43,3,-1.58970546053738,1
PicSOM,977,32,-0.553814703433406,1
PicSOM,1616,56,0.303474198997472,1
PicSOM,674,6,-1.48254434773352,1
PicSOM,707,9,-1.37538323492966,1
PicSOM,533,12.5,-1.25036193665849,2
PicSOM,599,5,-1.51826471866814,1
PicSOM,92,24,-0.839577670910366,1
PicSOM,395,47,-0.018009139414107,1
PicSOM,1117,78,1.08932235955911,1
PicSOM,705,46,-0.053729510348727,1
PicSOM,1181,2,-1.625425831472,1
PicSOM,1083,63,0.553516795539812,1
PicSOM,523,13,-1.23250175119119,1
PicSOM,1576,22,-0.911018412779606,1
PicSOM,1076,100,0.923634124237113,1
PicSOM,1813,13,-1.13072274163605,1
PicSOM,491,23,-0.894589768547182,1
PicSOM,1118,0,-1.43769560665158,1
PicSOM,79,100,0.923634124237113,1
PicSOM,870,0,-1.43769560665158,1
PicSOM,327,3,-1.36685571472492,1
PicSOM,73,24,-0.870976471238295,1
PicSOM,1170,5,-1.31962912010715,1
PicSOM,794,53.5,-0.17438420062613,2
PicSOM,1252,100,0.923634124237113,1
PicSOM,1873,99,0.902864659205813,1
PicSOM,317,97,0.831455266299908,1
PicSOM,233,97,0.831455266299908,1
PicSOM,576,96,0.795750569846956,1
PicSOM,1199,74,0.010247247881998,1
PicSOM,1390,90,0.58152239112924,1
PicSOM,1128,45,0.01764133494767,1
PicSOM,1162,5,-0.910849978087605,1
PicSOM,910,1,-1.00369910939113,1
PicSOM,1421,63.5,0.447068567226485,2
PicSOM,1041,29,-0.35375519026644,1
PicSOM,660,1,-1.00369910939113,1
PicSOM,1452,42,-0.051995513529976,1
PicSOM,1373,1,-1.07725013133534,1
PicSOM,1696,1,-1.07725013133534,1
PicSOM,1839,0,-1.10035221435776,1
PicSOM,368,4,-1.00794388226809,1
PicSOM,1768,2,-1.05414804831292,1
PicSOM,567,22,-0.592106387864568,1
PicSOM,4,0,-1.10035221435776,1
PicSOM,883,0,-1.43769560665158,1
PicSOM,678,53,-0.186190849280574,1
PicSOM,592,0,-1.43769560665158,1
PicSOM,1528,23,-1.00839213679342,1
PicSOM,1255,85,1.39901304153512,1
PicSOM,1435,24,-0.969563021013929,1
PicSOM,104,48,-0.037664242306108,1
PicSOM,610,19,-1.16370859991139,1
PicSOM,1692,54,0.195310452370848,1
PicSOM,1743,24,-0.969563021013929,1
PicSOM,165,7,-1.4468239767989,1
PicSOM,1166,32,-0.553814703433406,1
PicSOM,1654,33,-0.518094332498786,1
PicSOM,1407,28,-0.696696187171886,1
PicSOM,1161,32,-0.553814703433406,1
PicSOM,1554,43,-0.160890623152587,1
PicSOM,872,29,-0.660975816237266,1
PicSOM,331,8,-1.38426722646034,1
PicSOM,1498,5,-1.46972900923301,1
PicSOM,70,76,0.55286651638687,1
PicSOM,1575,4,-1.49821627015723,1
PicSOM,885,4,-1.49821627015723,1
PicSOM,1027,41,-0.444187615960957,1
PicSOM,869,13,-1.24183092183922,1
PicSOM,3,21,-0.946738783714226,1
PicSOM,1227,3,-1.58970546053738,1
PicSOM,1657,4,-1.55398508960276,1
PicSOM,1784,11,-1.30394249306043,1
PicSOM,63,24,-0.839577670910366,2
PicSOM,537,16,-1.12534063838732,2
PicSOM,1761,34,-0.482373961564167,1
PicSOM,860,31,-0.589535074368026,1
PicSOM,1717,35,-0.446653590629547,1
PicSOM,1241,77,1.05360198862449,1
PicSOM,502,53,0.196313086193612,1
PicSOM,1723,3,-1.58970546053738,2
PicSOM,163,34,-0.482373961564167,1
PicSOM,684,42,-0.196610994087207,1
PicSOM,1789,27,-0.732416558106506,1
PicSOM,1032,15,-1.16106100932195,1
PicSOM,701,0,-1.56004493108588,1
PicSOM,208,3,-1.47605112646891,1
PicSOM,1428,25,-0.860096559277788,1
PicSOM,1541,1,-1.53204699621356,1
PicSOM,1401,2,-1.625425831472,1
PicSOM,955,39,-0.303772106891067,1
PicSOM,1450,18,-1.05389989651809,1
PicSOM,1512,30,-0.625255445302646,1
PicSOM,916,3,-1.58970546053738,1
PicSOM,1599,51,-0.233417443898348,1
PicSOM,1890,0,-1.43769560665158,1
PicSOM,1456,50,-0.257030741207234,1
PicSOM,840,27,-0.800136579311635,1
PicSOM,1160,96,0.672848060325259,1
PicSOM,240,28,-1.45621978993615,1
PicSOM,89,60,-0.454305507460191,1
PicSOM,889,60,-0.454305507460191,1
PicSOM,637,99,0.76677752430738,1
PicSOM,158,99,0.76677752430738,1
PicSOM,1223,99,0.76677752430738,1
PicSOM,108,99,0.76677752430738,1
PicSOM,1163,3,-1.51449446483903,1
