SYS,SID,RAW.SCR,Z.SCR1,N,Z.SCR
RUCMM,1719,39,-0.440313060225596,1,0.580837107266635
RUCMM,1958,75,0.503776884272406,1,0.751441674325596
RUCMM,1786,100,1.15939490128491,1,0.869917068116541
RUCMM,1055,99,1.13317018060441,1,0.865178052364904
RUCMM,1688,51,-0.125616412059595,1,0.637705296286289
RUCMM,470,99.5,0.736158344139912,2,0.793434853666475
RUCMM,1545,49.5,-0.337634412140058,2,0.599391956203351
RUCMM,261,75,0.219478117087356,2,0.700066624338392
RUCMM,662,94.5,0.628779068511917,2,0.774030563920163
RUCMM,440,50,-0.317418261052631,2,0.603045175606829
RUCMM,904,100,0.756374495227338,2,0.797088073069953
RUCMM,589,99.5,0.745636567664538,2,0.795147644095322
RUCMM,1954,62.5,-0.048970071982637,2,0.651555899972611
RUCMM,983,62.5,-0.212655576639411,2,0.621976626494971
RUCMM,344,42.5,-0.857613940205781,2,0.505427516922785
RUCMM,749,78,0.108158860462342,2,0.679950348667291
RUCMM,1220,37.5,-1.04230701948107,2,0.472052007510595
RUCMM,1757,57.5,-0.31917036130239,2,0.60272855714659
RUCMM,1944,81.5,0.231189752386056,4,0.702183010050719
RUCMM,2052,43,-0.918886492782803,2,0.494355078998919
RUCMM,172,96,0.716765573732504,2,0.789930425705229
RUCMM,2035,29.5,-1.20581980991194,2,0.442503944868222
RUCMM,1091,89.5,0.73641562794305,2,0.793481346897445
RUCMM,1121,85,0.443013944449435,2,0.740461327482436
RUCMM,571,51,-0.274047042928651,2,0.610882699916863
RUCMM,1266,85.5,0.528917100990117,2,0.755984711579503
RUCMM,39,96,0.900971798974944,2,0.823217956718773
RUCMM,444,44,-0.640803758470315,2,0.544606842372143
RUCMM,1793,95.5,0.887754509914946,2,0.82082948738816
RUCMM,1350,37,-0.862188739050617,2,0.504600814360329
RUCMM,1114,91.5,0.845370845379931,4,0.813170421871671
RUCMM,1377,82,0.532641173600304,2,0.756657681140359
RUCMM,1713,75,0.407008322374942,2,0.733954825001919
RUCMM,665,50,-0.296163832806466,2,0.606886019956623
RUCMM,390,99,1.07809496066991,2,0.855225521774613
RUCMM,1787,52.25,-0.196261005057624,4,0.62493925606552
RUCMM,1564,99.5,1.09413771911313,2,0.858124575910914
RUCMM,376,80.5,0.583478665250401,2,0.765844420501236
RUCMM,1963,76.5,0.39102267967471,2,0.731066092134965
RUCMM,254,56.5,-0.09231661374238,2,0.643722834877996
RUCMM,413,100,0.959203810983788,2,0.833740944762061
RUCMM,1738,8.5,-1.24255833508187,2,0.435865000965125
RUCMM,1400,54,-0.075983800253786,1,0.646674304269567
RUCMM,1176,75,0.566660135750792,1,0.762805178360621
RUCMM,1825,50,-0.040302306141659,1,0.653122234247524
RUCMM,1533,77,0.615217131102188,1,0.771579813889669
RUCMM,590,51,-0.016023808465961,1,0.657509552012048
RUCMM,1118,79,0.663774126453584,1,0.780354449418717
RUCMM,1276,100,1.17362257764324,1,0.872488122473718
RUCMM,964,81,0.791298217868242,1,0.803399067711896
RUCMM,1891,100,1.30724420755584,2,0.896634614504277
RUCMM,1374,100,1.30724420755584,1,0.896634614504277
RUCMM,1525,61,0.248197176091823,1,0.705256386877811
RUCMM,927,3,-1.32679584505979,1,0.420642612458964
RUCMM,939,10,-1.13671048043804,1,0.454992550750895
RUCMM,1480,2,-1.01024615659604,1,0.477845660608919
RUCMM,1859,99,1.11451267232451,1,0.861806492122109
RUCMM,766,2,-1.01024615659604,1,0.477845660608919
RUCMM,499,2,-1.01024615659604,1,0.477845660608919
RUCMM,1758,2,-1.01024615659604,1,0.477845660608919
RUCMM,652,100,1.13641740251957,1,0.865764851209875
RUCMM,59,99,0.78746195746103,1,0.802705824923206
RUCMM,14,44,-0.786317390662395,1,0.518311370880275
RUCMM,997,44,-0.786317390662395,1,0.518311370880275
RUCMM,813,98,0.683322265820854,1,0.783886953787604
RUCMM,1669,9,-2.00366180794857,1,0.298327545734057
RUCMM,712,15,-1.80622428376247,1,0.334006077775698
RUCMM,976,10,-1.97075555391756,1,0.304273967740996
RUCMM,614,51,-0.621599138645895,1,0.548077270025537
RUCMM,466,51,-0.621599138645895,1,0.548077270025537
RUCMM,1097,0,-1.10304216742516,1,0.461076682881147
RUCMM,1446,0,-1.10304216742516,1,0.461076682881147
RUCMM,1586,0,-1.10304216742516,1,0.461076682881147
RUCMM,655,17.5,-0.710620172508709,2,0.531990460680923
RUCMM,478,9,-0.901225141468129,1,0.497546625749603
RUCMM,153,0,-1.10304216742516,1,0.461076682881147
RUCMM,1243,32,-0.385470519577933,1,0.590747590857881
RUCMM,1458,84,0.780583408173814,1,0.801462816320076
RUCMM,1866,0,-1.10304216742516,1,0.461076682881147
RUCMM,540,70,0.446053186952214,1,0.741010542792265
RUCMM,534,99,1.24503665956582,1,0.885393215467578
RUCMM,482,89.5,0.983300694399293,2,0.838095443384285
RUCMM,52,98,1.21748550533776,1,0.880414502616704
RUCMM,1988,39,-0.408032594117498,1,0.586670444415207
RUCMM,1465,34,-0.545788365257774,1,0.561776880160843
RUCMM,1418,31,-0.62844182794194,1,0.546840741608225
RUCMM,1588,96,1.16238319688165,1,0.870457076914959
RUCMM,1527,68,0.390950878496104,1,0.731053117090519
RUCMM,240,69,0.322393128485297,1,0.718664186006893
RUCMM,1009,0,-1.23648044302735,1,0.436963324433811
RUCMM,320,0,-1.23648044302735,1,0.436963324433811
RUCMM,1305,86,0.706463428713051,1,0.788068746104609
RUCMM,86,0,-1.23648044302735,1,0.436963324433811
RUCMM,1282,51,-0.504700525726804,1,0.569201779785525
RUCMM,630,12,-1.86686803460883,1,0.323047269329246
RUCMM,687,41,-0.853974245952966,1,0.506085238642889
RUCMM,1033,75,0.333556402815984,1,0.720681478527851
RUCMM,1634,60,-0.063979104221453,1,0.648843648388956
RUCMM,504,3,-1.51112550923051,1,0.38733277504862
RUCMM,12,75,0.31684889709672,1,0.717662299267992
RUCMM,1499,8,-1.38418284212445,1,0.410272325341632
RUCMM,186,100,0.951562232627007,1,0.832360050733051
RUCMM,391,12,-3.27107600246688,1,0.069295713332589
RUCMM,1431,89,-0.005089848551557,1,0.659485405592852
RUCMM,1882,50,-1.65929062780737,1,0.360558158863628
RUCMM,22,99,0.419064197411473,1,0.736133417574704
RUCMM,2019,100,0.461479602007775,1,0.743798218772889
RUCMM,828,88,-0.04750525314786,1,0.651820604394666
RUCMM,226,89,-0.005089848551557,1,0.659485405592852
RUCMM,251,78,0.53385306961787,1,0.756876680396311
RUCMM,821,13,-1.08162409635799,1,0.464947098791143
RUCMM,1019,1,-1.379866034692,1,0.411052406802495
RUCMM,1853,38,-0.460286724828815,1,0.577227707100823
RUCMM,1864,81,0.608413554201371,1,0.770350353393473
RUCMM,1291,49,-0.471036237158233,1,0.575285184666659
RUCMM,1332,99,0.947747609703914,1,0.831670718009956
RUCMM,981,99,0.947747609703914,1,0.831670718009956
RUCMM,321,49,-0.471036237158233,1,0.575285184666659
RUCMM,1598,21,-1.26555519140103,1,0.431709285994414
RUCMM,1549,79,0.188816725818923,2,0.694525866899695
RUCMM,1801,24,-1.51362916271235,1,0.386880344937671
RUCMM,853,100,0.838841519621772,1,0.81199052073974
RUCMM,1475,100,0.838841519621772,1,0.81199052073974
RUCMM,1219,7,-2.03983971007656,1,0.291789910876682
RUCMM,710,100,0.750070553667823,1,0.795948900656569
RUCMM,385,100,0.750070553667823,1,0.795948900656569
RUCMM,1281,50,-0.917864855867029,1,0.49453969692089
RUCMM,447,100,0.750070553667823,1,0.795948900656569
RUCMM,248,12,-1.40453684445326,1,0.406594195121667
RUCMM,136,100,0.690365567612618,1,0.785159734479583
RUCMM,1587,1,-1.66639964596149,1,0.359273502701928
RUCMM,471,100,0.690365567612618,1,0.785159734479583
RUCMM,658,99,0.685990305688892,1,0.784369089826903
RUCMM,663,99,0.685990305688892,1,0.784369089826903
RUCMM,1237,51,-0.780715024959963,1,0.519323762952386
RUCMM,908,78,0.189993969507306,1,0.694738604203963
RUCMM,1862,59,-0.415285276072642,1,0.585359827061231
RUCMM,1034,70,-0.064860449684252,2,0.648684382249128
RUCMM,1716,99,0.858986819885143,1,0.815630936835404
RUCMM,114,59,-0.415285276072642,1,0.585359827061231
RUCMM,1277,99,0.893089220818556,1,0.821793512107837
RUCMM,130,5.5,-1.15608481958721,2,0.451491453464709
RUCMM,672,13,-1.28519462120885,1,0.428160284716332
RUCMM,506,9,-1.39060324300166,1,0.409112107802631
RUCMM,1978,58.5,-0.264256577255086,2,0.612651914987184
RUCMM,31,99,0.79016621868885,1,0.803194506450507
RUCMM,861,55,0.121207009820763,1,0.682308253107633
RUCMM,522,0,-1.14616666701231,1,0.453283742574371
RUCMM,427,1,-1.12312350925171,1,0.457447824584066
RUCMM,638,3,-1.07703719373051,1,0.465775988603457
RUCMM,835,0,-1.14616666701231,1,0.453283742574371
RUCMM,1662,94,1.01989016248422,1,0.844707451485765
RUCMM,1752,73,0.33886595933657,1,0.72164095765031
RUCMM,1624,78,0.460236288611846,1,0.743573542146613
RUCMM,1129,5,-1.31177051880718,1,0.423357808500597
RUCMM,912,8,-1.23894832124202,1,0.436517359198377
RUCMM,569,100,0.99426573742306,1,0.840076913930344
RUCMM,174,54,-0.344995343136903,1,0.598061777385976
RUCMM,222,70,0.114233067028692,1,0.681048006138932
RUCMM,1494,96,0.860479233547783,1,0.815900627862484
RUCMM,1106,20,-1.32085571473879,1,0.421716041285946
RUCMM,190,99,0.946584560453833,1,0.831460545753663
RUCMM,974,26,-1.14864506092669,1,0.452835877068305
RUCMM,834,100,0.750070553667823,1,0.795948900656569
RUCMM,954,100,0.750070553667823,1,0.795948900656569
RUCMM,1553,100,0.750070553667823,1,0.795948900656569
RUCMM,108,50,-0.917864855867029,1,0.49453969692089
RUCMM,1421,24,-0.849531547769309,1,0.50688806956447
RUCMM,1585,46,-0.130143785993913,1,0.636887163782623
RUCMM,1263,23,-0.882230991486373,1,0.500979019827281
RUCMM,575,9,-0.904622583013517,1,0.496932681021839
RUCMM,1961,3,-1.05816531280365,1,0.469186287689766
RUCMM,42,2,-1.08375576776867,1,0.464561888801088
RUCMM,794,10,-0.879032128048495,1,0.501557079910518
RUCMM,1248,15,-1.44650672955671,1,0.399009902841766
RUCMM,56,78,0.435176606434879,1,0.739045058125199
RUCMM,1357,50,-0.40112709845027,1,0.587918322443673
RUCMM,920,100,1.09227237455892,1,0.85778749330354
RUCMM,553,75,0.345572638054327,1,0.722852907873607
RUCMM,1058,83,0.584516553735798,1,0.766031975211186
RUCMM,1877,64,0.017024753992305,1,0.663481690284436
RUCMM,400,30,-0.998486887653947,1,0.479970654099727
RUCMM,368,50,0.40877721322522,1,0.734274477657309
RUCMM,239,44,0.261381583456511,1,0.707638914224374
RUCMM,1166,10,-0.573860318566175,1,0.55670405477107
RUCMM,951,3,-0.745821886629669,1,0.525629230765978
RUCMM,1880,2,-0.770387824924454,1,0.521189970193822
RUCMM,1912,3,-0.745821886629669,1,0.525629230765978
RUCMM,1027,0,-1.63757574984184,1,0.364482210142468
RUCMM,1212,0,-1.63757574984184,1,0.364482210142468
