SYS,SID,RAW.SCR,Z.SCR.RAW,N,HIT,Z.SCR
SHEF-UETlahore,1324,84.2941176470588,1.51596488560054,17,0,0.91773016667676
SHEF-UETlahore,1050,1.76470588235294,-0.819312645179409,17,0,0.04116585650722
SHEF-UETlahore,1173,32.8235294117647,0.075019700927243,17,0,0.376860353497245
SHEF-UETlahore,1383,76.2941176470588,1.31872835305197,17,0,0.843695923288169
SHEF-UETlahore,1691,63.7058823529412,0.889208787275283,17,0,0.682472464013238
SHEF-UETlahore,596,6.41176470588235,-0.651297581467943,17,0,0.104231597721774
SHEF-UETlahore,662,2.52941176470588,-0.786681013414409,17,0,0.053414389459207
SHEF-UETlahore,548,2.47058823529412,-0.787073096154927,17,0,0.053267218199071
SHEF-UETlahore,634,7.17647058823529,-0.602803654178825,34,0,0.122434164809122
SHEF-UETlahore,1169,5.29411764705882,-0.681921457454179,17,0,0.092736691281413
SHEF-UETlahore,743,5.41176470588235,-0.668358875751317,17,0,0.097827510217404
SHEF-UETlahore,817,4.23529411764706,-0.710938981676167,17,0,0.081844741280944
SHEF-UETlahore,1437,77.5294117647059,1.25760559048981,17,0,0.820753026140068
SHEF-UETlahore,153,88.2631578947368,1.33393186192392,19,1,0.849402676807117
SHEF-UETlahore,904,8.21052631578947,-0.655312801764034,19,1,0.102724454025733
SHEF-UETlahore,607,0.736842105263158,-0.836036594951553,19,1,0.034888393849309
SHEF-UETlahore,935,0.473684210526316,-0.843671153667188,19,1,0.032022703752173
SHEF-UETlahore,403,28.4736842105263,-0.165980367306649,19,1,0.286399131746142
SHEF-UETlahore,256,86.2105263157895,1.30094618539581,19,1,0.837021250441197
SHEF-UETlahore,101,10.2631578947368,-0.600100045415062,19,1,0.12344898506913
SHEF-UETlahore,109,90.0526315789474,1.43036983109988,19,1,0.885601407283765
SHEF-UETlahore,183,79.0526315789474,1.16141321726064,19,1,0.784646481983392
SHEF-UETlahore,437,82.4736842105263,1.20865238797269,19,1,0.802378066577691
SHEF-UETlahore,701,77.2631578947368,1.07193451729559,19,1,0.751059966515342
SHEF-UETlahore,1578,68.7368421052632,0.874949740997375,19,1,0.677120221763858
SHEF-UETlahore,246,82.5263157894737,1.24025294511062,19,1,0.814239577770038
SHEF-UETlahore,1514,71.1666666666667,0.935598024619374,18,3,0.699885019607105
SHEF-UETlahore,540,4.05555555555556,-0.758557505889937,18,3,0.063970763443803
SHEF-UETlahore,604,4,-0.769037222538175,18,3,0.060037121521822
SHEF-UETlahore,637,9.22222222222222,-0.60913781014247,18,3,0.120056590846457
SHEF-UETlahore,1741,3.22222222222222,-0.793318821770359,36,3,0.050922837245013
SHEF-UETlahore,903,31.8888888888889,-0.05818406612224,18,3,0.326861299150708
SHEF-UETlahore,866,4.44444444444444,-0.752631598498738,18,3,0.066195098177482
SHEF-UETlahore,259,83.5,1.34371240586941,18,3,0.853073878899228
SHEF-UETlahore,1273,92.7222222222222,1.57003279269538,18,3,0.938024969782697
SHEF-UETlahore,1562,82.0555555555556,1.27057411684777,18,3,0.82562086185169
SHEF-UETlahore,142,82.6111111111111,1.21675606421162,18,3,0.805419843530789
SHEF-UETlahore,470,91.6111111111111,1.50971296383475,18,3,0.9153834599502
SHEF-UETlahore,280,75,1.04563896949782,18,3,0.741189731216934
SHEF-UETlahore,1268,25.8666666666667,-0.156738932949545,15,5,0.289867974924497
SHEF-UETlahore,518,64.9333333333333,0.753845691211094,15,5,0.631662888979863
SHEF-UETlahore,1061,62.2666666666667,0.699760054364694,15,5,0.611361430875862
SHEF-UETlahore,1417,95.7333333333333,1.55672004462597,15,5,0.933027927814831
SHEF-UETlahore,1008,4.26666666666667,-0.814329229249306,15,5,0.043036419851183
SHEF-UETlahore,1004,3.8,-0.844804717193154,15,5,0.031597211999234
SHEF-UETlahore,1205,89.5333333333333,1.40796682745839,15,5,0.877192268252581
SHEF-UETlahore,905,5.13333333333333,-0.79428335646369,15,5,0.05056079175922
SHEF-UETlahore,1593,43.6666666666667,0.0325185727512,15,5,0.360907229463795
SHEF-UETlahore,1362,78,1.09471481138653,15,5,0.759610724406895
SHEF-UETlahore,1515,61,0.639435866922757,15,5,0.588718285016483
SHEF-UETlahore,809,3.4,-0.884990634789574,15,5,0.016513119992117
SHEF-UETlahore,1737,89.6,1.38113575094818,15,5,0.867121018149634
SHEF-UETlahore,319,55.7333333333333,0.486841322875028,15,5,0.531440753983947
SHEF-UETlahore,143,20.8,-0.387650754039728,15,5,0.203193454018065
SHEF-UETlahore,934,32.8666666666667,-0.144605005129624,15,5,0.294422537681568
SHEF-UETlahore,681,2.88888888888889,-0.758470043933387,36,6,0.064003592959181
SHEF-UETlahore,1126,93.6111111111111,1.59494046219904,18,6,0.947374254331808
SHEF-UETlahore,1322,78.1111111111111,1.14624015880937,18,6,0.778951158263107
SHEF-UETlahore,1248,95.4444444444444,1.6175560738146,18,6,0.955863197394706
SHEF-UETlahore,1415,82.1666666666667,1.25121982906797,36,6,0.818356081673355
SHEF-UETlahore,820,7.05555555555556,-0.724119345440931,18,6,0.076897390775933
SHEF-UETlahore,1048,3.11111111111111,-0.735001089352999,18,6,0.072812844840814
SHEF-UETlahore,1654,56.7777777777778,0.651774109638615,18,6,0.593349538934864
SHEF-UETlahore,872,1.94444444444444,-0.812516736464624,18,6,0.043716752902202
SHEF-UETlahore,837,3.55555555555556,-0.730857128012459,18,6,0.074368312474088
SHEF-UETlahore,719,24.1666666666667,-0.269296097672643,36,6,0.247618780920909
SHEF-UETlahore,214,58.1666666666667,0.541734832703339,18,6,0.552045453400281
SHEF-UETlahore,19,79.5555555555556,1.0517993945002,18,6,0.743502093932452
SHEF-UETlahore,623,11,-0.561224839232517,18,6,0.138041091506569
